1, ,active,NUMBER ,"Dummy Variable 0,1", ,"continuis, discrete categorical ",integer/ boolean/ character / string/text, , , , , 
2,Location Address (School),address,VARCHAR,School Street Address ,,,,,,,,
3,Location Address (School),address,VARCHAR,School Street Address ,,,,,,,,
4,Location Address (School),address,VARCHAR,School Street Address ,,,,,,,,
5,Location Address (School),address,VARCHAR,School Street Address ,,,,,,,,
6,Location Address (School),address,VARCHAR,School Street Address ,,,,,,,,
7,Location Address (School),address,VARCHAR,School Street Address ,,,,,,,,
8,Location Address (School),address,VARCHAR,School Street Address ,,,,,,,,
9,Location Address (School),address,VARCHAR,School Street Address ,,,,,,,,
10,Location Address (School),address,VARCHAR,School Street Address ,,,,,,,,
11,Location Address (School),address,VARCHAR,School Street Address ,,,,,,,,
12,Address,address,VARCHAR,School Street Address ,,,,,,,,
13,Address,address,VARCHAR,School Street Address ,,,,,,,,
14,Street address,address,VARCHAR,School Street Address ,,,,,,,,
15,Street address,address,VARCHAR,School Street Address ,,,,,,,,
16,Street address,address,VARCHAR,School Street Address ,,,,,,,,
17,Address,address,VARCHAR,School Street Address ,,,,,,,,
18,Address,address,VARCHAR,School Street Address ,,,,,,,,
19,Building Address,address,VARCHAR,School Street Address ,,,,,,,,
20,Address,address,VARCHAR,School Street Address ,,,,,,,,
21,Address,address,VARCHAR,School Street Address ,,,,,,,,
22,Street,address,VARCHAR,School Street Address ,,,,,,,,
23,Address,address,VARCHAR,School Street Address ,,,,,,,,
24,,character_alternative,VARCHAR(9),exclusive if school is an alternative school based on private school survey,,,,,,exclusive vs NA,,
25,Location City (School),city,VARCHAR,City of School,,,,,,,,
26,Location City (School),city,VARCHAR,City of School,,,,,,,,
27,Location City (School),city,VARCHAR,City of School,,,,,,,,
28,Location City (School),city,VARCHAR,City of School,,,,,,,,
29,Location City (School),city,VARCHAR,City of School,,,,,,,,
30,Location City (School),city,VARCHAR,City of School,,,,,,,,
31,Location City (School),city,VARCHAR,City of School,,,,,,,,
32,Location City (School),city,VARCHAR,City of School,,,,,,,,
33,Location City (School),city,VARCHAR,City of School,,,,,,,,
34,Location City (School),city,VARCHAR,City of School,,,,,,,,
35,City,city,VARCHAR,City of School,,,,,,,,
36,City,city,VARCHAR,City of School,,,,,,,,
37,City,city,VARCHAR,City of School,,,,,,,,
38,City,city,VARCHAR,City of School,,,,,,,,
39,City,city,VARCHAR,City of School,,,,,,,,
40,City,city,VARCHAR,City of School,,,,,,,,
41,City,city,VARCHAR,City of School,,,,,,,,
42,City,city,VARCHAR,City of School,,,,,,,,
43,City,city,VARCHAR,City of School,,,,,,,,
44,City,city,VARCHAR,City of School,,,,,,,,
45,City,city,VARCHAR,City of School,,,,,,,,
46,City,city,VARCHAR,City of School,,,,,,,,
47,,control,VARCHAR(22),"Type of School: Public, Private for profit, Private not for profit ",,,,,,created variable for new CCD data ,,
48,School Type ,control,VARCHAR(22),"Type of School: Public, Private for profit, Private not for profit ",,,,,,created variable for new CCD data ,,
49,School Type ,control,VARCHAR(22),"Type of School: Public, Private for profit, Private not for profit ",,,,,,created variable for new CCD data ,,
50,County Number (School),county,VARCHAR,School County Number,,,,,,,,
51,County Number- by survey year (District),county,VARCHAR,School County Number,,,,,,,,
52,CntyCode,county,VARCHAR,School County Number,,,,,,,,
53,County Number,county,VARCHAR,School County Number,,,,,,,,
54,CntyCode,county,VARCHAR,School County Number,,,,,,,,
55,county,county,VARCHAR,School County Number,,,,,,,,
56,county,county,VARCHAR,School County Number,,,,,,,,
57,County code,county,VARCHAR,School County Number,,,,,,,,
58,County code,county,VARCHAR,School County Number,,,,,,,,
59,COUNTY,county,VARCHAR,School County Number,,,,,,,,
60,School CTDS,county,VARCHAR,School County Number,,,,,,,,
61,System ID,county,VARCHAR,School County Number,,,,,,,,
62,System ID,county,VARCHAR,School County Number,,,,,,,,
63,County,county,VARCHAR,School County Number,,,,,,,,
64,County,county,VARCHAR,School County Number,,,,,,,,
65,County Code,county,VARCHAR,School County Number,,,,,,,,
66,county,county,VARCHAR,School County Number,,,,,,,,
67,county,county,VARCHAR,School County Number,,,,,,,,
68,district_number,district,NUMBER ,"School District Number which in the NCES Common Core Data is referred to as the Agency ID Number: This is a seven digit number to identify the school district. The first two digits are the ANSI state code, formerly known as the FIPS state code",,,,,,,,
69,county,county,VARCHAR,School County Number,,,,,,,,
70,district_number,district,NUMBER ,"School District Number which in the NCES Common Core Data is referred to as the Agency ID Number: This is a seven digit number to identify the school district. The first two digits are the ANSI state code, formerly known as the FIPS state code",,,,,,,,
71,county,county,VARCHAR,School County Number,,,,,,,,
72,district_number,district,NUMBER ,"School District Number which in the NCES Common Core Data is referred to as the Agency ID Number: This is a seven digit number to identify the school district. The first two digits are the ANSI state code, formerly known as the FIPS state code",,,,,,,,
73,county,county,VARCHAR,School County Number,,,,,,,,
74,district_number,district,NUMBER ,"School District Number which in the NCES Common Core Data is referred to as the Agency ID Number: This is a seven digit number to identify the school district. The first two digits are the ANSI state code, formerly known as the FIPS state code",,,,,,,,
